,place,tmef,wf,tmn,tmx
129,대전,2022-07-08 00:00,흐림,24,31
130,세종,2022-07-01 00:00,구름많음,23,30
131,세종,2022-07-01 12:00,흐림,23,30
132,세종,2022-07-02 00:00,구름많음,23,31
133,세종,2022-07-02 12:00,구름많음,23,31
134,세종,2022-07-03 00:00,구름많음,23,31
135,세종,2022-07-03 12:00,흐림,23,31
136,세종,2022-07-04 00:00,흐림,23,29
137,세종,2022-07-04 12:00,흐림,23,29
138,세종,2022-07-05 00:00,흐림,23,29
139,세종,2022-07-05 12:00,흐리고 비,23,29
140,세종,2022-07-06 00:00,흐림,24,30
141,세종,2022-07-07 00:00,흐림,23,30
142,세종,2022-07-08 00:00,흐림,23,31
143,홍성,2022-07-01 00:00,구름많음,23,30
144,홍성,2022-07-01 12:00,흐림,23,30
145,홍성,2022-07-02 00:00,구름많음,23,32
146,홍성,2022-07-02 12:00,구름많음,23,32
147,홍성,2022-07-03 00:00,구름많음,22,30
148,홍성,2022-07-03 12:00,흐림,22,30
149,홍성,2022-07-04 00:00,흐림,23,28
150,홍성,2022-07-04 12:00,흐림,23,28
151,홍성,2022-07-05 00:00,흐림,23,27
152,홍성,2022-07-05 12:00,흐리고 비,23,27
153,홍성,2022-07-06 00:00,흐림,24,28
154,홍성,2022-07-07 00:00,흐림,23,28
155,홍성,2022-07-08 00:00,흐림,23,30
156,청주,2022-07-01 00:00,흐림,24,31
157,청주,2022-07-01 12:00,흐림,24,31
158,청주,2022-07-02 00:00,구름많음,24,32
159,청주,2022-07-02 12:00,구름많음,24,32
160,청주,2022-07-03 00:00,구름많음,24,31
161,청주,2022-07-03 12:00,흐림,24,31
162,청주,2022-07-04 00:00,흐림,24,30
163,청주,2022-07-04 12:00,흐림,24,30
164,청주,2022-07-05 00:00,흐림,24,31
165,청주,2022-07-05 12:00,흐리고 비,24,31
166,청주,2022-07-06 00:00,흐림,24,31
167,청주,2022-07-07 00:00,흐림,24,31
168,청주,2022-07-08 00:00,흐림,24,31
169,충주,2022-07-01 00:00,흐림,22,31
170,충주,2022-07-01 12:00,흐림,22,31
171,충주,2022-07-02 00:00,구름많음,23,32
172,충주,2022-07-02 12:00,구름많음,23,32
173,충주,2022-07-03 00:00,구름많음,22,30
174,충주,2022-07-03 12:00,흐림,22,30
175,충주,2022-07-04 00:00,흐림,22,30
176,충주,2022-07-04 12:00,흐림,22,30
177,충주,2022-07-05 00:00,흐림,23,30
178,충주,2022-07-05 12:00,흐리고 비,23,30
179,충주,2022-07-06 00:00,흐림,23,30
180,충주,2022-07-07 00:00,흐림,23,30
181,충주,2022-07-08 00:00,흐림,23,31
182,영동,2022-07-01 00:00,흐림,21,32
183,영동,2022-07-01 12:00,흐림,21,32
184,영동,2022-07-02 00:00,구름많음,22,33
185,영동,2022-07-02 12:00,구름많음,22,33
186,영동,2022-07-03 00:00,구름많음,21,31
187,영동,2022-07-03 12:00,흐림,21,31
188,영동,2022-07-04 00:00,흐림,22,29
189,영동,2022-07-04 12:00,흐림,22,29
190,영동,2022-07-05 00:00,흐림,22,30
191,영동,2022-07-05 12:00,흐리고 비,22,30
192,영동,2022-07-06 00:00,흐림,22,31
193,영동,2022-07-07 00:00,흐림,23,31
194,영동,2022-07-08 00:00,흐림,22,32
195,광주,2022-07-01 00:00,구름많음,24,32
196,광주,2022-07-01 12:00,구름많음,24,32
197,광주,2022-07-02 00:00,구름많음,24,32
198,광주,2022-07-02 12:00,구름많음,24,32
199,광주,2022-07-03 00:00,구름많음,23,31
200,광주,2022-07-03 12:00,흐림,23,31
201,광주,2022-07-04 00:00,흐림,24,30
202,광주,2022-07-04 12:00,흐림,24,30
203,광주,2022-07-05 00:00,흐리고 비,24,30
204,광주,2022-07-05 12:00,흐림,24,30
205,광주,2022-07-06 00:00,흐림,24,30
206,광주,2022-07-07 00:00,흐림,24,31
207,광주,2022-07-08 00:00,흐림,24,31
208,목포,2022-07-01 00:00,구름많음,24,30
209,목포,2022-07-01 12:00,구름많음,24,30
210,목포,2022-07-02 00:00,구름많음,23,30
211,목포,2022-07-02 12:00,구름많음,23,30
212,목포,2022-07-03 00:00,구름많음,23,29
213,목포,2022-07-03 12:00,흐림,23,29
214,목포,2022-07-04 00:00,흐림,23,27
215,목포,2022-07-04 12:00,흐림,23,27
216,목포,2022-07-05 00:00,흐리고 비,23,28
217,목포,2022-07-05 12:00,흐림,23,28
218,목포,2022-07-06 00:00,흐림,24,28
219,목포,2022-07-07 00:00,흐림,24,29
220,목포,2022-07-08 00:00,흐림,23,29
221,여수,2022-07-01 00:00,구름많음,23,27
222,여수,2022-07-01 12:00,구름많음,23,27
223,여수,2022-07-02 00:00,구름많음,23,28
224,여수,2022-07-02 12:00,구름많음,23,28
225,여수,2022-07-03 00:00,구름많음,23,27
226,여수,2022-07-03 12:00,흐림,23,27
227,여수,2022-07-04 00:00,흐림,23,26
228,여수,2022-07-04 12:00,흐림,23,26
229,여수,2022-07-05 00:00,흐리고 비,23,26
230,여수,2022-07-05 12:00,흐림,23,26
231,여수,2022-07-06 00:00,흐림,23,27
232,여수,2022-07-07 00:00,흐림,23,28
233,여수,2022-07-08 00:00,흐림,23,28
234,순천,2022-07-01 00:00,구름많음,24,30
235,순천,2022-07-01 12:00,구름많음,24,30
236,순천,2022-07-02 00:00,구름많음,24,31
237,순천,2022-07-02 12:00,구름많음,24,31
238,순천,2022-07-03 00:00,구름많음,23,30
239,순천,2022-07-03 12:00,흐림,23,30
240,순천,2022-07-04 00:00,흐림,24,27
241,순천,2022-07-04 12:00,흐림,24,27
242,순천,2022-07-05 00:00,흐리고 비,24,29
243,순천,2022-07-05 12:00,흐림,24,29
244,순천,2022-07-06 00:00,흐림,24,30
245,순천,2022-07-07 00:00,흐림,24,30
246,순천,2022-07-08 00:00,흐림,24,30
247,광양,2022-07-01 00:00,구름많음,23,31
248,광양,2022-07-01 12:00,구름많음,23,31
249,광양,2022-07-02 00:00,구름많음,23,31
250,광양,2022-07-02 12:00,구름많음,23,31
251,광양,2022-07-03 00:00,구름많음,23,30
252,광양,2022-07-03 12:00,흐림,23,30
253,광양,2022-07-04 00:00,흐림,23,28
254,광양,2022-07-04 12:00,흐림,23,28
255,광양,2022-07-05 00:00,흐리고 비,24,29
256,광양,2022-07-05 12:00,흐림,24,29
257,광양,2022-07-06 00:00,흐림,24,30
258,광양,2022-07-07 00:00,흐림,24,30
259,광양,2022-07-08 00:00,흐림,25,30
260,나주,2022-07-01 00:00,구름많음,23,31
261,나주,2022-07-01 12:00,구름많음,23,31
262,나주,2022-07-02 00:00,구름많음,23,32
263,나주,2022-07-02 12:00,구름많음,23,32
264,나주,2022-07-03 00:00,구름많음,22,31
265,나주,2022-07-03 12:00,흐림,22,31
266,나주,2022-07-04 00:00,흐림,23,28
267,나주,2022-07-04 12:00,흐림,23,28
268,나주,2022-07-05 00:00,흐리고 비,24,30
269,나주,2022-07-05 12:00,흐림,24,30
270,나주,2022-07-06 00:00,흐림,24,30
271,나주,2022-07-07 00:00,흐림,23,31
272,나주,2022-07-08 00:00,흐림,24,31
273,전주,2022-07-01 00:00,구름많음,24,32
274,전주,2022-07-01 12:00,흐림,24,32
275,전주,2022-07-02 00:00,구름많음,23,32
276,전주,2022-07-02 12:00,구름많음,23,32
277,전주,2022-07-03 00:00,구름많음,23,31
278,전주,2022-07-03 12:00,흐림,23,31
279,전주,2022-07-04 00:00,흐림,24,30
280,전주,2022-07-04 12:00,흐림,24,30
281,전주,2022-07-05 00:00,흐리고 비,24,31
282,전주,2022-07-05 12:00,흐림,24,31
283,전주,2022-07-06 00:00,흐림,24,31
284,전주,2022-07-07 00:00,흐림,24,31
285,전주,2022-07-08 00:00,흐림,24,32
286,군산,2022-07-01 00:00,구름많음,23,30
287,군산,2022-07-01 12:00,흐림,23,30
288,군산,2022-07-02 00:00,구름많음,23,31
289,군산,2022-07-02 12:00,구름많음,23,31
290,군산,2022-07-03 00:00,구름많음,22,29
291,군산,2022-07-03 12:00,흐림,22,29
292,군산,2022-07-04 00:00,흐림,23,29
293,군산,2022-07-04 12:00,흐림,23,29
294,군산,2022-07-05 00:00,흐리고 비,23,29
295,군산,2022-07-05 12:00,흐림,23,29
296,군산,2022-07-06 00:00,흐림,24,29
297,군산,2022-07-07 00:00,흐림,24,30
298,군산,2022-07-08 00:00,흐림,23,30
299,정읍,2022-07-01 00:00,구름많음,24,31
300,정읍,2022-07-01 12:00,흐림,24,31
301,정읍,2022-07-02 00:00,구름많음,23,32
302,정읍,2022-07-02 12:00,구름많음,23,32
303,정읍,2022-07-03 00:00,구름많음,22,31
304,정읍,2022-07-03 12:00,흐림,22,31
305,정읍,2022-07-04 00:00,흐림,23,30
306,정읍,2022-07-04 12:00,흐림,23,30
307,정읍,2022-07-05 00:00,흐리고 비,24,30
308,정읍,2022-07-05 12:00,흐림,24,30
309,정읍,2022-07-06 00:00,흐림,24,31
310,정읍,2022-07-07 00:00,흐림,24,31
311,정읍,2022-07-08 00:00,흐림,24,31
312,남원,2022-07-01 00:00,구름많음,22,32
313,남원,2022-07-01 12:00,흐림,22,32
314,남원,2022-07-02 00:00,구름많음,22,32
315,남원,2022-07-02 12:00,구름많음,22,32
316,남원,2022-07-03 00:00,구름많음,22,31
317,남원,2022-07-03 12:00,흐림,22,31
318,남원,2022-07-04 00:00,흐림,23,29
319,남원,2022-07-04 12:00,흐림,23,29
320,남원,2022-07-05 00:00,흐리고 비,23,30
321,남원,2022-07-05 12:00,흐림,23,30
322,남원,2022-07-06 00:00,흐림,23,31
323,남원,2022-07-07 00:00,흐림,23,31
324,남원,2022-07-08 00:00,흐림,23,32
325,고창,2022-07-01 00:00,구름많음,23,31
326,고창,2022-07-01 12:00,흐림,23,31
327,고창,2022-07-02 00:00,구름많음,23,31
328,고창,2022-07-02 12:00,구름많음,23,31
329,고창,2022-07-03 00:00,구름많음,22,30
330,고창,2022-07-03 12:00,흐림,22,30
331,고창,2022-07-04 00:00,흐림,23,29
332,고창,2022-07-04 12:00,흐림,23,29
333,고창,2022-07-05 00:00,흐리고 비,24,30
334,고창,2022-07-05 12:00,흐림,24,30
335,고창,2022-07-06 00:00,흐림,24,30
336,고창,2022-07-07 00:00,흐림,24,30
337,고창,2022-07-08 00:00,흐림,24,30
338,무주,2022-07-01 00:00,구름많음,21,31
339,무주,2022-07-01 12:00,흐림,21,31
340,무주,2022-07-02 00:00,구름많음,21,32
341,무주,2022-07-02 12:00,구름많음,21,32
342,무주,2022-07-03 00:00,구름많음,21,31
343,무주,2022-07-03 12:00,흐림,21,31
344,무주,2022-07-04 00:00,흐림,22,28
345,무주,2022-07-04 12:00,흐림,22,28
346,무주,2022-07-05 00:00,흐리고 비,22,29
347,무주,2022-07-05 12:00,흐림,22,29
348,무주,2022-07-06 00:00,흐림,23,30
349,무주,2022-07-07 00:00,흐림,23,30
350,무주,2022-07-08 00:00,흐림,22,31
351,부산,2022-07-01 00:00,구름많음,23,28
352,부산,2022-07-01 12:00,구름많음,23,28
353,부산,2022-07-02 00:00,구름많음,23,29
354,부산,2022-07-02 12:00,구름많음,23,29
355,부산,2022-07-03 00:00,구름많음,23,28
356,부산,2022-07-03 12:00,구름많음,23,28
357,부산,2022-07-04 00:00,흐림,23,27
358,부산,2022-07-04 12:00,흐림,23,27
359,부산,2022-07-05 00:00,흐리고 비,23,27
360,부산,2022-07-05 12:00,흐림,23,27
361,부산,2022-07-06 00:00,흐림,23,28
362,부산,2022-07-07 00:00,흐림,23,28
363,부산,2022-07-08 00:00,흐림,23,27
364,울산,2022-07-01 00:00,구름많음,23,32
365,울산,2022-07-01 12:00,구름많음,23,32
366,울산,2022-07-02 00:00,구름많음,23,32
367,울산,2022-07-02 12:00,구름많음,23,32
368,울산,2022-07-03 00:00,구름많음,23,31
369,울산,2022-07-03 12:00,구름많음,23,31
370,울산,2022-07-04 00:00,흐림,23,29
371,울산,2022-07-04 12:00,흐림,23,29
372,울산,2022-07-05 00:00,흐리고 비,23,30
373,울산,2022-07-05 12:00,흐림,23,30
374,울산,2022-07-06 00:00,흐림,23,30
375,울산,2022-07-07 00:00,흐림,24,31
376,울산,2022-07-08 00:00,흐림,23,31
377,창원,2022-07-01 00:00,구름많음,23,30
378,창원,2022-07-01 12:00,구름많음,23,30
379,창원,2022-07-02 00:00,구름많음,22,30
380,창원,2022-07-02 12:00,구름많음,22,30
381,창원,2022-07-03 00:00,구름많음,22,30
382,창원,2022-07-03 12:00,구름많음,22,30
383,창원,2022-07-04 00:00,흐림,23,28
384,창원,2022-07-04 12:00,흐림,23,28
385,창원,2022-07-05 00:00,흐리고 비,23,29
386,창원,2022-07-05 12:00,흐림,23,29
387,창원,2022-07-06 00:00,흐림,23,29
388,창원,2022-07-07 00:00,흐림,23,30
389,창원,2022-07-08 00:00,흐림,23,30
390,진주,2022-07-01 00:00,구름많음,23,30
391,진주,2022-07-01 12:00,구름많음,23,30
392,진주,2022-07-02 00:00,구름많음,22,31
393,진주,2022-07-02 12:00,구름많음,22,31
394,진주,2022-07-03 00:00,구름많음,22,30
395,진주,2022-07-03 12:00,구름많음,22,30
396,진주,2022-07-04 00:00,흐림,23,28
397,진주,2022-07-04 12:00,흐림,23,28
398,진주,2022-07-05 00:00,흐리고 비,23,29
399,진주,2022-07-05 12:00,흐림,23,29
400,진주,2022-07-06 00:00,흐림,23,30
401,진주,2022-07-07 00:00,흐림,23,30
402,진주,2022-07-08 00:00,흐림,23,30
403,거창,2022-07-01 00:00,구름많음,21,32
404,거창,2022-07-01 12:00,구름많음,21,32
405,거창,2022-07-02 00:00,구름많음,21,32
406,거창,2022-07-02 12:00,구름많음,21,32
407,거창,2022-07-03 00:00,구름많음,21,30
408,거창,2022-07-03 12:00,구름많음,21,30
409,거창,2022-07-04 00:00,흐림,22,28
410,거창,2022-07-04 12:00,흐림,22,28
411,거창,2022-07-05 00:00,흐리고 비,22,30
412,거창,2022-07-05 12:00,흐림,22,30
413,거창,2022-07-06 00:00,흐림,22,30
414,거창,2022-07-07 00:00,흐림,22,31
415,거창,2022-07-08 00:00,흐림,22,31
416,통영,2022-07-01 00:00,구름많음,23,28
417,통영,2022-07-01 12:00,구름많음,23,28
418,통영,2022-07-02 00:00,구름많음,22,28
419,통영,2022-07-02 12:00,구름많음,22,28
420,통영,2022-07-03 00:00,구름많음,22,28
421,통영,2022-07-03 12:00,구름많음,22,28
422,통영,2022-07-04 00:00,흐림,23,27
423,통영,2022-07-04 12:00,흐림,23,27
424,통영,2022-07-05 00:00,흐리고 비,23,27
425,통영,2022-07-05 12:00,흐림,23,27
426,통영,2022-07-06 00:00,흐림,23,27
427,통영,2022-07-07 00:00,흐림,23,27
428,통영,2022-07-08 00:00,흐림,23,26
429,대구,2022-07-01 00:00,구름많음,24,33
430,대구,2022-07-01 12:00,맑음,24,33
431,대구,2022-07-02 00:00,구름많음,24,34
432,대구,2022-07-02 12:00,구름많음,24,34
433,대구,2022-07-03 00:00,구름많음,24,33
434,대구,2022-07-03 12:00,흐림,24,33
435,대구,2022-07-04 00:00,흐림,24,30
436,대구,2022-07-04 12:00,흐림,24,30
437,대구,2022-07-05 00:00,흐리고 비,23,31
438,대구,2022-07-05 12:00,흐림,23,31
439,대구,2022-07-06 00:00,흐림,24,32
440,대구,2022-07-07 00:00,흐림,24,32
441,대구,2022-07-08 00:00,흐림,24,32
442,안동,2022-07-01 00:00,구름많음,22,32
443,안동,2022-07-01 12:00,맑음,22,32
444,안동,2022-07-02 00:00,구름많음,23,33
445,안동,2022-07-02 12:00,구름많음,23,33
446,안동,2022-07-03 00:00,구름많음,23,31
447,안동,2022-07-03 12:00,흐림,23,31
448,안동,2022-07-04 00:00,흐림,23,30
449,안동,2022-07-04 12:00,흐림,23,30
450,안동,2022-07-05 00:00,흐리고 비,22,30
451,안동,2022-07-05 12:00,흐림,22,30
452,안동,2022-07-06 00:00,흐림,23,31
453,안동,2022-07-07 00:00,흐림,23,31
454,안동,2022-07-08 00:00,흐림,23,31
455,포항,2022-07-01 00:00,구름많음,25,33
456,포항,2022-07-01 12:00,맑음,25,33
457,포항,2022-07-02 00:00,구름많음,25,32
458,포항,2022-07-02 12:00,구름많음,25,32
459,포항,2022-07-03 00:00,구름많음,25,32
460,포항,2022-07-03 12:00,흐림,25,32
461,포항,2022-07-04 00:00,흐림,24,30
462,포항,2022-07-04 12:00,흐림,24,30
463,포항,2022-07-05 00:00,흐리고 비,24,30
464,포항,2022-07-05 12:00,흐림,24,30
465,포항,2022-07-06 00:00,흐림,25,31
466,포항,2022-07-07 00:00,흐림,25,31
467,포항,2022-07-08 00:00,흐림,24,30
468,경주,2022-07-01 00:00,구름많음,22,34
469,경주,2022-07-01 12:00,맑음,22,34
470,경주,2022-07-02 00:00,구름많음,22,33
471,경주,2022-07-02 12:00,구름많음,22,33
472,경주,2022-07-03 00:00,구름많음,22,33
473,경주,2022-07-03 12:00,흐림,22,33
474,경주,2022-07-04 00:00,흐림,23,30
475,경주,2022-07-04 12:00,흐림,23,30
476,경주,2022-07-05 00:00,흐리고 비,23,31
477,경주,2022-07-05 12:00,흐림,23,31
478,경주,2022-07-06 00:00,흐림,23,32
479,경주,2022-07-07 00:00,흐림,23,32
480,경주,2022-07-08 00:00,흐림,24,32
481,울진,2022-07-01 00:00,구름많음,22,28
482,울진,2022-07-01 12:00,맑음,22,28
483,울진,2022-07-02 00:00,구름많음,22,27
484,울진,2022-07-02 12:00,구름많음,22,27
485,울진,2022-07-03 00:00,구름많음,22,28
486,울진,2022-07-03 12:00,흐림,22,28
487,울진,2022-07-04 00:00,흐림,22,27
488,울진,2022-07-04 12:00,흐림,22,27
489,울진,2022-07-05 00:00,흐리고 비,21,27
490,울진,2022-07-05 12:00,흐림,21,27
491,울진,2022-07-06 00:00,흐림,22,28
492,울진,2022-07-07 00:00,흐림,22,28
493,울진,2022-07-08 00:00,흐림,22,27
494,울릉도,2022-07-01 00:00,구름많음,23,29
495,울릉도,2022-07-01 12:00,맑음,23,29
496,울릉도,2022-07-02 00:00,구름많음,23,29
497,울릉도,2022-07-02 12:00,구름많음,23,29
498,울릉도,2022-07-03 00:00,구름많음,23,28
499,울릉도,2022-07-03 12:00,흐림,23,28
500,울릉도,2022-07-04 00:00,흐림,23,27
501,울릉도,2022-07-04 12:00,흐림,23,27
502,울릉도,2022-07-05 00:00,흐리고 비,22,27
503,울릉도,2022-07-05 12:00,흐림,22,27
504,울릉도,2022-07-06 00:00,흐림,22,27
505,울릉도,2022-07-07 00:00,흐림,22,26
506,울릉도,2022-07-08 00:00,흐림,22,26
507,제주,2022-07-01 00:00,구름많음,24,31
508,제주,2022-07-01 12:00,구름많음,24,31
509,제주,2022-07-02 00:00,구름많음,23,30
510,제주,2022-07-02 12:00,구름많음,23,30
511,제주,2022-07-03 00:00,흐림,24,30
512,제주,2022-07-03 12:00,흐림,24,30
513,제주,2022-07-04 00:00,흐림,24,29
514,제주,2022-07-04 12:00,흐리고 비,24,29
515,제주,2022-07-05 00:00,흐리고 비,24,29
516,제주,2022-07-05 12:00,흐림,24,29
517,제주,2022-07-06 00:00,흐림,24,30
518,제주,2022-07-07 00:00,흐림,24,30
519,제주,2022-07-08 00:00,흐림,24,30
520,서귀포,2022-07-01 00:00,구름많음,24,28
521,서귀포,2022-07-01 12:00,구름많음,24,28
522,서귀포,2022-07-02 00:00,구름많음,23,28
523,서귀포,2022-07-02 12:00,구름많음,23,28
524,서귀포,2022-07-03 00:00,흐림,23,27
525,서귀포,2022-07-03 12:00,흐림,23,27
526,서귀포,2022-07-04 00:00,흐림,24,27
527,서귀포,2022-07-04 12:00,흐리고 비,24,27
528,서귀포,2022-07-05 00:00,흐리고 비,24,27
529,서귀포,2022-07-05 12:00,흐림,24,27
530,서귀포,2022-07-06 00:00,흐림,24,28
531,서귀포,2022-07-07 00:00,흐림,24,28
532,서귀포,2022-07-08 00:00,흐림,24,28
